starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 14 16:26:33 2019	1565792793	0	265	265	5
Wed Aug 14 16:26:33 2019	1565792793	0	268	268	5
Wed Aug 14 16:26:33 2019	1565792793	0	268	268	3
Wed Aug 14 16:26:28 2019	1565792788	0	268	268	3
Wed Aug 14 16:25:30 2019	1565792730	0	268	268	3
Wed Aug 14 16:26:28 2019	1565792788	0	269	269	3
Wed Aug 14 16:26:28 2019	1565792788	0	269	269	5
Wed Aug 14 16:26:28 2019	1565792788	0	269	269	5
Wed Aug 14 16:25:31 2019	1565792731	0	269	269	3
Wed Aug 14 16:25:31 2019	1565792731	0	269	269	3
Wed Aug 14 16:25:31 2019	1565792731	0	269	269	5
Wed Aug 14 16:25:31 2019	1565792731	0	269	269	5
Wed Aug 14 16:25:43 2019	1565792743	0	269	269	3
Wed Aug 14 16:25:43 2019	1565792743	0	269	269	3
Wed Aug 14 16:25:43 2019	1565792743	0	269	269	5
Wed Aug 14 16:25:43 2019	1565792743	0	269	269	5
Wed Aug 14 16:26:27 2019	1565792787	0	269	269	5
Wed Aug 14 16:26:27 2019	1565792787	0	269	269	3
Wed Aug 14 16:25:30 2019	1565792730	0	269	269	3
Wed Aug 14 16:26:27 2019	1565792787	0	269	269	3
Wed Aug 14 16:26:27 2019	1565792787	0	269	269	5
Wed Aug 14 16:25:30 2019	1565792730	0	269	269	5
Wed Aug 14 16:25:30 2019	1565792730	0	269	269	3
Wed Aug 14 16:25:30 2019	1565792730	0	269	269	5
Wed Aug 14 16:25:30 2019	1565792730	0	269	269	5
Wed Aug 14 16:25:30 2019	1565792730	0	269	269	3
Wed Aug 14 16:26:26 2019	1565792786	0	269	269	5
Wed Aug 14 16:26:27 2019	1565792787	0	269	269	3
Wed Aug 14 16:25:31 2019	1565792731	0	269	269	5
Wed Aug 14 16:26:27 2019	1565792787	0	269	269	5
Wed Aug 14 16:26:27 2019	1565792787	0	269	269	5
Wed Aug 14 16:26:26 2019	1565792786	0	269	269	3
Wed Aug 14 16:26:26 2019	1565792786	0	269	269	5
Wed Aug 14 16:26:26 2019	1565792786	0	269	269	5
Wed Aug 14 16:26:26 2019	1565792786	0	269	269	3
Wed Aug 14 16:26:26 2019	1565792786	0	269	269	3
Wed Aug 14 16:26:27 2019	1565792787	0	269	269	3
Wed Aug 14 16:26:26 2019	1565792786	0	269	269	5
Wed Aug 14 16:26:26 2019	1565792786	0	269	269	3
Wed Aug 14 16:26:26 2019	1565792786	0	269	269	5
Wed Aug 14 16:25:31 2019	1565792731	0	269	269	3
Wed Aug 14 16:25:31 2019	1565792731	0	269	269	3
Wed Aug 14 16:25:31 2019	1565792731	0	269	269	5
Wed Aug 14 16:25:30 2019	1565792730	0	269	269	5
Wed Aug 14 16:25:45 2019	1565792745	0	269	269	3
Wed Aug 14 16:25:45 2019	1565792745	0	269	269	5
Wed Aug 14 16:25:45 2019	1565792745	0	269	269	3
Wed Aug 14 16:25:45 2019	1565792745	0	269	269	5
Wed Aug 14 16:25:42 2019	1565792742	0	269	269	3
Wed Aug 14 16:25:42 2019	1565792742	0	269	269	5
Wed Aug 14 16:25:56 2019	1565792756	0	269	269	5
Wed Aug 14 16:25:29 2019	1565792729	0	269	269	5
Wed Aug 14 16:25:42 2019	1565792742	0	269	269	3
Wed Aug 14 16:25:42 2019	1565792742	0	269	269	5
Wed Aug 14 16:25:56 2019	1565792756	0	269	269	3
Wed Aug 14 16:25:29 2019	1565792729	0	269	269	3
Wed Aug 14 16:25:32 2019	1565792732	0	269	269	3
Wed Aug 14 16:25:29 2019	1565792729	0	269	269	5
Wed Aug 14 16:25:56 2019	1565792756	0	269	269	5
Wed Aug 14 16:25:32 2019	1565792732	0	269	269	3
Wed Aug 14 16:25:47 2019	1565792747	0	269	269	5
Wed Aug 14 16:25:47 2019	1565792747	0	269	269	3
Wed Aug 14 16:25:29 2019	1565792729	0	269	269	3
Wed Aug 14 16:25:56 2019	1565792756	0	269	269	3
Wed Aug 14 16:25:32 2019	1565792732	0	269	269	5
Wed Aug 14 16:25:47 2019	1565792747	0	269	269	5
Wed Aug 14 16:25:47 2019	1565792747	0	269	269	3
Wed Aug 14 16:25:32 2019	1565792732	0	269	269	5
Wed Aug 14 16:25:46 2019	1565792746	0	270	270	5
Wed Aug 14 16:26:28 2019	1565792788	0	270	270	3
Wed Aug 14 16:26:28 2019	1565792788	0	270	270	3
Wed Aug 14 16:25:31 2019	1565792731	0	270	270	5
Wed Aug 14 16:26:28 2019	1565792788	0	270	270	5
Wed Aug 14 16:26:28 2019	1565792788	0	270	270	5
Wed Aug 14 16:25:31 2019	1565792731	0	270	270	3
Wed Aug 14 16:25:31 2019	1565792731	0	270	270	5
Wed Aug 14 16:25:31 2019	1565792731	0	270	270	3
Wed Aug 14 16:25:29 2019	1565792729	0	270	270	5
Wed Aug 14 16:25:29 2019	1565792729	0	270	270	3
Wed Aug 14 16:25:29 2019	1565792729	0	270	270	5
Wed Aug 14 16:25:29 2019	1565792729	0	270	270	3
Wed Aug 14 16:25:29 2019	1565792729	0	270	270	3
Wed Aug 14 16:25:45 2019	1565792745	0	270	270	3
Wed Aug 14 16:25:45 2019	1565792745	0	270	270	5
Wed Aug 14 16:25:31 2019	1565792731	0	270	270	3
Wed Aug 14 16:25:31 2019	1565792731	0	270	270	3
Wed Aug 14 16:25:46 2019	1565792746	0	270	270	5
Wed Aug 14 16:25:45 2019	1565792745	0	270	270	3
Wed Aug 14 16:25:45 2019	1565792745	0	270	270	5
Wed Aug 14 16:25:29 2019	1565792729	0	270	270	3
Wed Aug 14 16:25:31 2019	1565792731	0	270	270	5
Wed Aug 14 16:25:29 2019	1565792729	0	270	270	5
Wed Aug 14 16:25:46 2019	1565792746	0	270	270	3
Wed Aug 14 16:25:46 2019	1565792746	0	270	270	3
Wed Aug 14 16:25:45 2019	1565792745	0	270	270	5
Wed Aug 14 16:25:46 2019	1565792746	0	270	270	3
Wed Aug 14 16:25:31 2019	1565792731	0	270	270	5
Wed Aug 14 16:25:45 2019	1565792745	0	270	270	3
Wed Aug 14 16:25:46 2019	1565792746	0	270	270	3
Wed Aug 14 16:25:32 2019	1565792732	0	270	270	5
Wed Aug 14 16:25:46 2019	1565792746	0	270	270	6
Wed Aug 14 16:25:29 2019	1565792729	0	270	270	5
Wed Aug 14 16:25:46 2019	1565792746	0	270	270	3
Wed Aug 14 16:25:46 2019	1565792746	0	270	270	3
Wed Aug 14 16:25:42 2019	1565792742	0	270	270	3
Wed Aug 14 16:25:45 2019	1565792745	0	270	270	3
Wed Aug 14 16:25:57 2019	1565792757	0	270	270	3
Wed Aug 14 16:25:42 2019	1565792742	0	270	270	5
Wed Aug 14 16:25:46 2019	1565792746	0	270	270	5
Wed Aug 14 16:25:45 2019	1565792745	0	270	270	5
Wed Aug 14 16:25:46 2019	1565792746	0	270	270	5
Wed Aug 14 16:25:46 2019	1565792746	0	270	270	5
Wed Aug 14 16:26:08 2019	1565792768	0	270	270	3
Wed Aug 14 16:26:27 2019	1565792787	0	270	270	3
Wed Aug 14 16:25:32 2019	1565792732	0	270	270	3
Wed Aug 14 16:26:08 2019	1565792768	0	270	270	3
Wed Aug 14 16:25:57 2019	1565792757	0	270	270	3
Wed Aug 14 16:25:42 2019	1565792742	0	270	270	5
Wed Aug 14 16:25:32 2019	1565792732	0	270	270	3
Wed Aug 14 16:25:57 2019	1565792757	0	270	270	5
Wed Aug 14 16:25:42 2019	1565792742	0	270	270	3
Wed Aug 14 16:26:08 2019	1565792768	0	270	270	5
Wed Aug 14 16:25:42 2019	1565792742	0	270	270	3
Wed Aug 14 16:25:57 2019	1565792757	0	270	270	5
Wed Aug 14 16:26:29 2019	1565792789	0	270	270	3
Wed Aug 14 16:25:32 2019	1565792732	0	270	270	5
Wed Aug 14 16:25:55 2019	1565792755	0	270	270	5
Wed Aug 14 16:26:27 2019	1565792787	0	270	270	3
Wed Aug 14 16:25:43 2019	1565792743	0	270	270	5
Wed Aug 14 16:26:29 2019	1565792789	0	270	270	3
Wed Aug 14 16:25:57 2019	1565792757	0	270	270	5
Wed Aug 14 16:26:29 2019	1565792789	0	270	270	3
Wed Aug 14 16:25:57 2019	1565792757	0	270	270	3
Wed Aug 14 16:25:57 2019	1565792757	0	270	270	3
Wed Aug 14 16:26:27 2019	1565792787	0	270	270	5
Wed Aug 14 16:26:29 2019	1565792789	0	270	270	5
Wed Aug 14 16:26:08 2019	1565792768	0	270	270	5
Wed Aug 14 16:25:55 2019	1565792755	0	270	270	3
Wed Aug 14 16:26:27 2019	1565792787	0	270	270	5
Wed Aug 14 16:25:57 2019	1565792757	0	270	270	5
Wed Aug 14 16:26:29 2019	1565792789	0	270	270	3
Wed Aug 14 16:26:29 2019	1565792789	0	270	270	5
Wed Aug 14 16:26:29 2019	1565792789	0	270	270	5
Wed Aug 14 16:26:29 2019	1565792789	0	270	270	5
Wed Aug 14 16:26:00 2019	1565792760	0	270	270	6
Wed Aug 14 16:25:55 2019	1565792755	0	270	270	5
Wed Aug 14 16:25:44 2019	1565792744	0	270	270	3
Wed Aug 14 16:25:44 2019	1565792744	0	270	270	5
Wed Aug 14 16:25:55 2019	1565792755	0	270	270	3
Wed Aug 14 16:25:44 2019	1565792744	0	270	270	5
Wed Aug 14 16:25:58 2019	1565792758	0	270	270	5
Wed Aug 14 16:25:42 2019	1565792742	0	270	270	3
Wed Aug 14 16:26:07 2019	1565792767	0	270	270	3
Wed Aug 14 16:26:07 2019	1565792767	0	270	270	5
Wed Aug 14 16:26:07 2019	1565792767	0	270	270	3
Wed Aug 14 16:26:07 2019	1565792767	0	270	270	5
Wed Aug 14 16:25:58 2019	1565792758	0	270	270	3
Wed Aug 14 16:26:12 2019	1565792772	0	270	270	5
Wed Aug 14 16:25:42 2019	1565792742	0	270	270	5
Wed Aug 14 16:25:58 2019	1565792758	0	270	270	3
Wed Aug 14 16:25:58 2019	1565792758	0	270	270	5
Wed Aug 14 16:25:44 2019	1565792744	0	270	270	3
Wed Aug 14 16:25:43 2019	1565792743	0	270	270	3
Wed Aug 14 16:25:43 2019	1565792743	0	270	270	5
Wed Aug 14 16:26:12 2019	1565792772	0	270	270	3
Wed Aug 14 16:26:09 2019	1565792769	0	270	270	3
Wed Aug 14 16:26:12 2019	1565792772	0	270	270	3
Wed Aug 14 16:26:12 2019	1565792772	0	270	270	5
Wed Aug 14 16:25:44 2019	1565792744	0	270	270	3
Wed Aug 14 16:25:42 2019	1565792742	0	270	270	5
Wed Aug 14 16:25:44 2019	1565792744	0	270	270	5
Wed Aug 14 16:26:13 2019	1565792773	0	270	270	3
Wed Aug 14 16:26:09 2019	1565792769	0	270	270	5
Wed Aug 14 16:26:09 2019	1565792769	0	270	270	3
Wed Aug 14 16:25:46 2019	1565792746	0	270	270	3
Wed Aug 14 16:25:46 2019	1565792746	0	270	270	3
Wed Aug 14 16:26:13 2019	1565792773	0	270	270	3
Wed Aug 14 16:26:13 2019	1565792773	0	270	270	5
Wed Aug 14 16:26:13 2019	1565792773	0	270	270	5
Wed Aug 14 16:26:17 2019	1565792777	0	270	270	5
Wed Aug 14 16:26:09 2019	1565792769	0	270	270	5
Wed Aug 14 16:25:46 2019	1565792746	0	270	270	5
Wed Aug 14 16:26:25 2019	1565792785	0	270	270	3
Wed Aug 14 16:25:43 2019	1565792743	0	270	270	3
Wed Aug 14 16:25:43 2019	1565792743	0	270	270	3
Wed Aug 14 16:26:25 2019	1565792785	0	270	270	3
Wed Aug 14 16:26:17 2019	1565792777	0	270	270	3
Wed Aug 14 16:26:17 2019	1565792777	0	270	270	5
Wed Aug 14 16:26:27 2019	1565792787	0	270	270	3
Wed Aug 14 16:26:25 2019	1565792785	0	270	270	5
Wed Aug 14 16:25:56 2019	1565792756	0	270	270	3
Wed Aug 14 16:25:46 2019	1565792746	0	270	270	5
Wed Aug 14 16:25:58 2019	1565792758	0	270	270	3
Wed Aug 14 16:25:58 2019	1565792758	0	270	270	3
Wed Aug 14 16:25:47 2019	1565792747	0	270	270	3
Wed Aug 14 16:25:59 2019	1565792759	0	270	270	3
Wed Aug 14 16:26:27 2019	1565792787	0	270	270	3
Wed Aug 14 16:25:45 2019	1565792745	0	270	270	3
Wed Aug 14 16:26:17 2019	1565792777	0	270	270	3
Wed Aug 14 16:26:27 2019	1565792787	0	270	270	6
Wed Aug 14 16:25:45 2019	1565792745	0	270	270	3
Wed Aug 14 16:26:27 2019	1565792787	0	270	270	6
Wed Aug 14 16:26:17 2019	1565792777	0	270	270	5
Wed Aug 14 16:25:58 2019	1565792758	0	270	270	6
