starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 14 16:30:40 2019	1565793040	0	666	666	42
Wed Aug 14 16:30:40 2019	1565793040	0	690	690	20
Wed Aug 14 16:30:40 2019	1565793040	0	696	696	40
Wed Aug 14 16:30:40 2019	1565793040	0	758	758	48
Wed Aug 14 16:33:36 2019	1565793216	0	1137	1137	709
Wed Aug 14 16:30:47 2019	1565793047	0	1179	1179	607
Wed Aug 14 16:31:04 2019	1565793064	0	1186	1186	575
Wed Aug 14 16:31:05 2019	1565793065	0	1214	1214	593
Wed Aug 14 16:30:50 2019	1565793050	0	1221	1221	609
Wed Aug 14 16:30:47 2019	1565793047	0	1223	1223	653
Wed Aug 14 16:31:03 2019	1565793063	0	1224	1224	669
Wed Aug 14 16:31:20 2019	1565793080	0	1232	1232	643
Wed Aug 14 16:30:59 2019	1565793059	0	1232	1232	632
Wed Aug 14 16:30:59 2019	1565793059	0	1233	1233	636
Wed Aug 14 16:31:20 2019	1565793080	0	1234	1234	636
Wed Aug 14 16:31:10 2019	1565793070	0	1237	1237	619
Wed Aug 14 16:30:58 2019	1565793058	0	1237	1237	633
Wed Aug 14 16:31:06 2019	1565793066	0	1239	1239	631
Wed Aug 14 16:31:04 2019	1565793064	0	1239	1239	612
Wed Aug 14 16:31:09 2019	1565793069	0	1240	1240	661
Wed Aug 14 16:31:21 2019	1565793081	0	1241	1241	645
Wed Aug 14 16:30:56 2019	1565793056	0	1241	1241	605
Wed Aug 14 16:31:04 2019	1565793064	0	1242	1242	684
Wed Aug 14 16:31:00 2019	1565793060	0	1244	1244	624
Wed Aug 14 16:31:09 2019	1565793069	0	1244	1244	612
Wed Aug 14 16:30:48 2019	1565793048	0	1246	1246	640
Wed Aug 14 16:30:48 2019	1565793048	0	1247	1247	649
Wed Aug 14 16:31:06 2019	1565793066	0	1248	1248	637
Wed Aug 14 16:30:56 2019	1565793056	0	1248	1248	664
Wed Aug 14 16:30:49 2019	1565793049	0	1248	1248	664
Wed Aug 14 16:30:45 2019	1565793045	0	1249	1249	660
Wed Aug 14 16:31:06 2019	1565793066	0	1250	1250	619
Wed Aug 14 16:31:11 2019	1565793071	0	1250	1250	646
Wed Aug 14 16:30:57 2019	1565793057	0	1251	1251	649
Wed Aug 14 16:30:41 2019	1565793041	0	1252	1252	637
Wed Aug 14 16:30:47 2019	1565793047	0	1255	1255	634
Wed Aug 14 16:30:58 2019	1565793058	0	1255	1255	619
Wed Aug 14 16:30:53 2019	1565793053	0	1255	1255	660
Wed Aug 14 16:30:55 2019	1565793055	0	1255	1255	622
Wed Aug 14 16:31:11 2019	1565793071	0	1256	1256	633
Wed Aug 14 16:31:21 2019	1565793081	0	1256	1256	645
Wed Aug 14 16:31:13 2019	1565793073	0	1257	1257	626
Wed Aug 14 16:31:01 2019	1565793061	0	1258	1258	635
Wed Aug 14 16:31:03 2019	1565793063	0	1258	1258	664
Wed Aug 14 16:31:05 2019	1565793065	0	1258	1258	657
Wed Aug 14 16:31:05 2019	1565793065	0	1258	1259	643
Wed Aug 14 16:31:07 2019	1565793067	0	1259	1259	636
Wed Aug 14 16:30:49 2019	1565793049	0	1260	1260	636
Wed Aug 14 16:30:51 2019	1565793051	0	1261	1261	647
Wed Aug 14 16:31:09 2019	1565793069	0	1261	1261	651
Wed Aug 14 16:30:53 2019	1565793053	0	1261	1261	608
Wed Aug 14 16:31:01 2019	1565793061	0	1261	1261	654
Wed Aug 14 16:31:10 2019	1565793070	0	1262	1262	630
Wed Aug 14 16:30:52 2019	1565793052	0	1263	1263	655
Wed Aug 14 16:30:54 2019	1565793054	0	1263	1263	662
Wed Aug 14 16:31:04 2019	1565793064	0	1264	1264	622
Wed Aug 14 16:30:42 2019	1565793042	0	1265	1265	659
Wed Aug 14 16:31:21 2019	1565793081	0	1265	1265	655
Wed Aug 14 16:31:03 2019	1565793063	0	1266	1266	627
Wed Aug 14 16:30:43 2019	1565793043	0	1267	1267	632
Wed Aug 14 16:31:19 2019	1565793079	0	1267	1267	657
Wed Aug 14 16:30:43 2019	1565793043	0	1267	1267	657
Wed Aug 14 16:30:43 2019	1565793043	0	1268	1268	643
Wed Aug 14 16:31:21 2019	1565793081	0	1269	1269	649
Wed Aug 14 16:31:12 2019	1565793072	0	1269	1269	675
Wed Aug 14 16:31:20 2019	1565793080	0	1269	1269	652
Wed Aug 14 16:31:05 2019	1565793065	0	1269	1269	661
Wed Aug 14 16:31:07 2019	1565793067	0	1270	1270	627
Wed Aug 14 16:30:49 2019	1565793049	0	1270	1270	638
Wed Aug 14 16:31:02 2019	1565793062	0	1270	1270	670
Wed Aug 14 16:31:18 2019	1565793078	0	1270	1271	638
Wed Aug 14 16:30:53 2019	1565793053	0	1271	1271	647
Wed Aug 14 16:30:55 2019	1565793055	0	1271	1271	626
Wed Aug 14 16:30:42 2019	1565793042	0	1272	1272	692
Wed Aug 14 16:31:19 2019	1565793079	0	1272	1272	639
Wed Aug 14 16:30:43 2019	1565793043	0	1272	1272	659
Wed Aug 14 16:31:09 2019	1565793069	0	1273	1273	654
Wed Aug 14 16:31:22 2019	1565793082	0	1274	1274	634
Wed Aug 14 16:31:12 2019	1565793072	0	1274	1274	639
Wed Aug 14 16:31:08 2019	1565793068	0	1274	1274	675
Wed Aug 14 16:31:02 2019	1565793062	0	1277	1277	646
Wed Aug 14 16:30:52 2019	1565793052	0	1277	1277	656
Wed Aug 14 16:31:03 2019	1565793063	0	1279	1279	683
Wed Aug 14 16:30:54 2019	1565793054	0	1280	1280	636
Wed Aug 14 16:31:20 2019	1565793080	0	1280	1280	668
Wed Aug 14 16:30:45 2019	1565793045	0	1280	1280	631
Wed Aug 14 16:31:00 2019	1565793060	0	1280	1280	641
Wed Aug 14 16:31:00 2019	1565793060	0	1281	1281	671
Wed Aug 14 16:31:04 2019	1565793064	0	1281	1281	651
Wed Aug 14 16:30:47 2019	1565793047	0	1281	1281	683
Wed Aug 14 16:31:10 2019	1565793070	0	1282	1282	677
Wed Aug 14 16:30:43 2019	1565793043	0	1282	1282	642
Wed Aug 14 16:31:08 2019	1565793068	0	1283	1283	660
Wed Aug 14 16:31:23 2019	1565793083	0	1283	1283	645
Wed Aug 14 16:30:59 2019	1565793059	0	1284	1284	688
Wed Aug 14 16:31:22 2019	1565793082	0	1284	1284	645
Wed Aug 14 16:31:12 2019	1565793072	0	1284	1284	658
Wed Aug 14 16:30:56 2019	1565793056	0	1284	1284	655
Wed Aug 14 16:30:52 2019	1565793052	0	1285	1285	641
Wed Aug 14 16:30:59 2019	1565793059	0	1285	1285	639
Wed Aug 14 16:31:20 2019	1565793080	0	1285	1285	669
Wed Aug 14 16:31:08 2019	1565793068	0	1285	1285	623
Wed Aug 14 16:31:10 2019	1565793070	0	1285	1285	627
Wed Aug 14 16:30:59 2019	1565793059	0	1286	1286	646
Wed Aug 14 16:31:22 2019	1565793082	0	1286	1286	651
Wed Aug 14 16:30:45 2019	1565793045	0	1287	1287	651
Wed Aug 14 16:31:03 2019	1565793063	0	1287	1287	676
Wed Aug 14 16:30:58 2019	1565793058	0	1287	1287	688
Wed Aug 14 16:31:12 2019	1565793072	0	1287	1287	665
Wed Aug 14 16:30:43 2019	1565793043	0	1287	1287	645
Wed Aug 14 16:30:44 2019	1565793044	0	1288	1288	644
Wed Aug 14 16:31:04 2019	1565793064	0	1289	1289	633
Wed Aug 14 16:31:05 2019	1565793065	0	1289	1289	661
Wed Aug 14 16:31:13 2019	1565793073	0	1289	1289	646
Wed Aug 14 16:30:58 2019	1565793058	0	1289	1289	670
Wed Aug 14 16:31:10 2019	1565793070	0	1290	1290	681
Wed Aug 14 16:30:53 2019	1565793053	0	1290	1290	670
Wed Aug 14 16:31:00 2019	1565793060	0	1290	1290	672
Wed Aug 14 16:30:57 2019	1565793057	0	1290	1290	660
Wed Aug 14 16:31:02 2019	1565793062	0	1290	1290	664
Wed Aug 14 16:31:11 2019	1565793071	0	1290	1290	656
Wed Aug 14 16:30:48 2019	1565793048	0	1292	1292	636
Wed Aug 14 16:31:19 2019	1565793079	0	1293	1293	682
Wed Aug 14 16:30:44 2019	1565793044	0	1293	1293	627
Wed Aug 14 16:30:52 2019	1565793052	0	1293	1293	679
Wed Aug 14 16:31:18 2019	1565793078	0	1294	1294	656
Wed Aug 14 16:30:41 2019	1565793041	0	1294	1294	657
Wed Aug 14 16:30:53 2019	1565793053	0	1294	1294	661
Wed Aug 14 16:31:23 2019	1565793083	0	1295	1295	688
Wed Aug 14 16:31:18 2019	1565793078	0	1295	1295	657
Wed Aug 14 16:31:08 2019	1565793068	0	1295	1295	677
Wed Aug 14 16:31:10 2019	1565793070	0	1296	1296	701
Wed Aug 14 16:30:55 2019	1565793055	0	1296	1297	697
Wed Aug 14 16:31:00 2019	1565793060	0	1297	1297	649
Wed Aug 14 16:31:13 2019	1565793073	0	1297	1297	663
Wed Aug 14 16:30:42 2019	1565793042	0	1297	1298	689
Wed Aug 14 16:31:06 2019	1565793066	0	1298	1298	668
Wed Aug 14 16:31:22 2019	1565793082	0	1299	1299	642
Wed Aug 14 16:31:13 2019	1565793073	0	1300	1300	696
Wed Aug 14 16:30:57 2019	1565793057	0	1300	1300	652
Wed Aug 14 16:31:18 2019	1565793078	0	1300	1300	680
Wed Aug 14 16:31:23 2019	1565793083	0	1301	1301	684
Wed Aug 14 16:30:47 2019	1565793047	0	1301	1301	659
Wed Aug 14 16:31:01 2019	1565793061	0	1301	1301	681
Wed Aug 14 16:31:11 2019	1565793071	0	1301	1301	633
Wed Aug 14 16:30:56 2019	1565793056	0	1301	1301	665
Wed Aug 14 16:30:40 2019	1565793040	0	1301	1301	697
Wed Aug 14 16:31:11 2019	1565793071	0	1302	1302	667
Wed Aug 14 16:30:56 2019	1565793056	0	1303	1303	660
Wed Aug 14 16:31:00 2019	1565793060	0	1303	1303	657
Wed Aug 14 16:31:19 2019	1565793079	0	1304	1304	676
Wed Aug 14 16:30:58 2019	1565793058	0	1304	1304	639
Wed Aug 14 16:31:03 2019	1565793063	0	1305	1305	655
Wed Aug 14 16:30:49 2019	1565793049	0	1305	1305	665
Wed Aug 14 16:30:53 2019	1565793053	0	1306	1306	680
Wed Aug 14 16:31:18 2019	1565793078	0	1306	1306	674
Wed Aug 14 16:30:41 2019	1565793041	0	1306	1306	669
Wed Aug 14 16:31:07 2019	1565793067	0	1306	1306	667
Wed Aug 14 16:31:22 2019	1565793082	0	1306	1306	665
Wed Aug 14 16:31:02 2019	1565793062	0	1306	1306	684
Wed Aug 14 16:31:21 2019	1565793081	0	1308	1308	701
Wed Aug 14 16:30:43 2019	1565793043	0	1309	1309	664
Wed Aug 14 16:31:02 2019	1565793062	0	1310	1310	653
Wed Aug 14 16:30:44 2019	1565793044	0	1310	1310	674
Wed Aug 14 16:30:57 2019	1565793057	0	1311	1311	671
Wed Aug 14 16:30:57 2019	1565793057	0	1311	1311	655
Wed Aug 14 16:30:51 2019	1565793051	0	1311	1311	666
Wed Aug 14 16:30:49 2019	1565793049	0	1312	1312	684
Wed Aug 14 16:30:56 2019	1565793056	0	1312	1312	663
Wed Aug 14 16:31:07 2019	1565793067	0	1312	1312	688
Wed Aug 14 16:30:49 2019	1565793049	0	1313	1313	667
Wed Aug 14 16:31:08 2019	1565793068	0	1313	1313	688
Wed Aug 14 16:30:41 2019	1565793041	0	1313	1313	636
Wed Aug 14 16:31:12 2019	1565793072	0	1314	1314	646
Wed Aug 14 16:30:40 2019	1565793040	0	1315	1315	666
Wed Aug 14 16:30:52 2019	1565793052	0	1315	1315	677
Wed Aug 14 16:31:02 2019	1565793062	0	1315	1315	682
Wed Aug 14 16:31:11 2019	1565793071	0	1317	1317	683
Wed Aug 14 16:31:18 2019	1565793078	0	1318	1318	662
Wed Aug 14 16:30:41 2019	1565793041	0	1318	1318	657
Wed Aug 14 16:31:07 2019	1565793067	0	1319	1319	654
Wed Aug 14 16:30:55 2019	1565793055	0	1319	1319	671
Wed Aug 14 16:30:57 2019	1565793057	0	1319	1320	682
Wed Aug 14 16:30:55 2019	1565793055	0	1320	1320	683
Wed Aug 14 16:31:06 2019	1565793066	0	1320	1320	673
Wed Aug 14 16:31:09 2019	1565793069	0	1320	1320	667
Wed Aug 14 16:30:43 2019	1565793043	0	1320	1320	681
Wed Aug 14 16:30:45 2019	1565793045	0	1321	1321	700
Wed Aug 14 16:30:54 2019	1565793054	0	1321	1321	654
Wed Aug 14 16:31:08 2019	1565793068	0	1321	1321	681
Wed Aug 14 16:30:41 2019	1565793041	0	1321	1321	665
Wed Aug 14 16:31:10 2019	1565793070	0	1321	1321	647
Wed Aug 14 16:31:07 2019	1565793067	0	1321	1321	644
Wed Aug 14 16:31:21 2019	1565793081	0	1321	1321	659
Wed Aug 14 16:30:51 2019	1565793051	0	1323	1323	703
Wed Aug 14 16:31:06 2019	1565793066	0	1323	1323	665
Wed Aug 14 16:30:49 2019	1565793049	0	1323	1323	702
Wed Aug 14 16:30:53 2019	1565793053	0	1324	1324	689
Wed Aug 14 16:30:41 2019	1565793041	0	1327	1328	679
Wed Aug 14 16:30:41 2019	1565793041	0	1328	1328	656
Wed Aug 14 16:30:58 2019	1565793058	0	1328	1328	666
Wed Aug 14 16:31:18 2019	1565793078	0	1330	1330	692
Wed Aug 14 16:30:51 2019	1565793051	0	1330	1330	685
Wed Aug 14 16:31:00 2019	1565793060	0	1330	1330	692
Wed Aug 14 16:31:20 2019	1565793080	0	1330	1330	648
Wed Aug 14 16:31:08 2019	1565793068	0	1331	1331	687
Wed Aug 14 16:31:01 2019	1565793061	0	1331	1331	688
Wed Aug 14 16:33:20 2019	1565793200	0	1332	1333	675
Wed Aug 14 16:30:55 2019	1565793055	0	1333	1333	688
Wed Aug 14 16:33:23 2019	1565793203	0	1333	1333	689
Wed Aug 14 16:30:48 2019	1565793048	0	1334	1334	664
Wed Aug 14 16:30:44 2019	1565793044	0	1335	1335	648
Wed Aug 14 16:33:29 2019	1565793209	0	1336	1336	721
Wed Aug 14 16:30:54 2019	1565793054	0	1337	1337	651
Wed Aug 14 16:30:50 2019	1565793050	0	1338	1338	653
Wed Aug 14 16:31:11 2019	1565793071	0	1339	1339	684
Wed Aug 14 16:30:59 2019	1565793059	0	1339	1339	686
Wed Aug 14 16:30:45 2019	1565793045	0	1342	1342	686
Wed Aug 14 16:31:19 2019	1565793079	0	1343	1343	699
Wed Aug 14 16:31:21 2019	1565793081	0	1344	1344	688
Wed Aug 14 16:33:15 2019	1565793195	0	1344	1344	709
Wed Aug 14 16:30:45 2019	1565793045	0	1345	1345	719
Wed Aug 14 16:30:51 2019	1565793051	0	1345	1345	627
Wed Aug 14 16:33:29 2019	1565793209	0	1346	1346	643
Wed Aug 14 16:31:01 2019	1565793061	0	1348	1348	676
Wed Aug 14 16:33:14 2019	1565793194	0	1349	1349	686
Wed Aug 14 16:33:09 2019	1565793189	0	1350	1350	686
Wed Aug 14 16:31:01 2019	1565793061	0	1352	1352	694
Wed Aug 14 16:30:49 2019	1565793049	0	1353	1353	687
Wed Aug 14 16:30:47 2019	1565793047	0	1356	1356	701
Wed Aug 14 16:30:51 2019	1565793051	0	1358	1358	710
Wed Aug 14 16:33:16 2019	1565793196	0	1359	1359	680
Wed Aug 14 16:31:20 2019	1565793080	0	1359	1359	713
Wed Aug 14 16:30:50 2019	1565793050	0	1360	1360	677
Wed Aug 14 16:30:40 2019	1565793040	0	1360	1360	711
Wed Aug 14 16:31:04 2019	1565793064	0	1361	1361	654
Wed Aug 14 16:33:24 2019	1565793204	0	1361	1361	667
Wed Aug 14 16:30:55 2019	1565793055	0	1361	1361	695
Wed Aug 14 16:30:51 2019	1565793051	0	1362	1362	752
Wed Aug 14 16:31:13 2019	1565793073	0	1362	1362	667
Wed Aug 14 16:32:44 2019	1565793164	0	1362	1362	701
Wed Aug 14 16:32:59 2019	1565793179	0	1363	1363	703
Wed Aug 14 16:31:17 2019	1565793077	0	1364	1364	707
Wed Aug 14 16:30:54 2019	1565793054	0	1365	1365	679
Wed Aug 14 16:31:58 2019	1565793118	0	1366	1366	704
Wed Aug 14 16:31:53 2019	1565793113	0	1366	1366	702
Wed Aug 14 16:30:50 2019	1565793050	0	1367	1367	655
Wed Aug 14 16:30:42 2019	1565793042	0	1368	1368	663
Wed Aug 14 16:31:59 2019	1565793119	0	1369	1369	668
Wed Aug 14 16:31:05 2019	1565793065	0	1369	1369	728
Wed Aug 14 16:32:51 2019	1565793171	0	1370	1370	729
Wed Aug 14 16:31:49 2019	1565793109	0	1371	1371	699
Wed Aug 14 16:31:30 2019	1565793090	0	1371	1371	681
Wed Aug 14 16:31:57 2019	1565793117	0	1371	1371	686
Wed Aug 14 16:31:42 2019	1565793102	0	1371	1371	693
Wed Aug 14 16:33:29 2019	1565793209	0	1371	1371	709
Wed Aug 14 16:32:26 2019	1565793146	0	1373	1374	716
Wed Aug 14 16:32:11 2019	1565793131	0	1374	1374	724
Wed Aug 14 16:31:57 2019	1565793117	0	1374	1374	722
Wed Aug 14 16:33:36 2019	1565793216	0	1374	1374	721
Wed Aug 14 16:31:58 2019	1565793118	0	1375	1376	720
Wed Aug 14 16:33:26 2019	1565793206	0	1377	1377	737
Wed Aug 14 16:32:38 2019	1565793158	0	1377	1377	701
Wed Aug 14 16:32:35 2019	1565793155	0	1377	1377	708
Wed Aug 14 16:32:51 2019	1565793171	0	1377	1378	719
Wed Aug 14 16:32:33 2019	1565793153	0	1379	1379	695
Wed Aug 14 16:31:57 2019	1565793117	0	1380	1380	728
Wed Aug 14 16:33:00 2019	1565793180	0	1381	1381	707
Wed Aug 14 16:32:12 2019	1565793132	0	1381	1381	723
Wed Aug 14 16:33:05 2019	1565793185	0	1381	1381	724
Wed Aug 14 16:32:44 2019	1565793164	0	1381	1382	679
Wed Aug 14 16:33:11 2019	1565793191	0	1382	1382	734
Wed Aug 14 16:32:32 2019	1565793152	0	1382	1382	727
Wed Aug 14 16:32:55 2019	1565793175	0	1382	1382	724
Wed Aug 14 16:33:19 2019	1565793199	0	1382	1382	736
Wed Aug 14 16:31:56 2019	1565793116	0	1382	1382	693
Wed Aug 14 16:32:31 2019	1565793151	0	1382	1382	690
Wed Aug 14 16:30:40 2019	1565793040	0	1382	1382	728
Wed Aug 14 16:33:05 2019	1565793185	0	1382	1383	701
Wed Aug 14 16:32:24 2019	1565793144	0	1383	1383	688
Wed Aug 14 16:32:13 2019	1565793133	0	1383	1383	685
Wed Aug 14 16:32:31 2019	1565793151	0	1383	1383	698
Wed Aug 14 16:30:51 2019	1565793051	0	1384	1384	715
Wed Aug 14 16:31:40 2019	1565793100	0	1384	1384	728
Wed Aug 14 16:32:50 2019	1565793170	0	1385	1385	699
Wed Aug 14 16:33:15 2019	1565793195	0	1385	1385	722
Wed Aug 14 16:31:41 2019	1565793101	0	1386	1386	683
Wed Aug 14 16:32:08 2019	1565793128	0	1386	1386	719
Wed Aug 14 16:33:06 2019	1565793186	0	1386	1386	714
Wed Aug 14 16:33:09 2019	1565793189	0	1386	1386	725
Wed Aug 14 16:31:51 2019	1565793111	0	1387	1387	746
Wed Aug 14 16:32:24 2019	1565793144	0	1387	1387	728
Wed Aug 14 16:33:11 2019	1565793191	0	1387	1387	687
Wed Aug 14 16:33:15 2019	1565793195	0	1387	1387	687
Wed Aug 14 16:33:14 2019	1565793194	0	1387	1387	735
Wed Aug 14 16:32:52 2019	1565793172	0	1388	1388	714
Wed Aug 14 16:32:40 2019	1565793160	0	1388	1388	702
Wed Aug 14 16:33:19 2019	1565793199	0	1388	1388	680
Wed Aug 14 16:32:34 2019	1565793154	0	1388	1389	735
Wed Aug 14 16:31:50 2019	1565793110	0	1389	1389	693
Wed Aug 14 16:33:25 2019	1565793205	0	1389	1389	681
Wed Aug 14 16:32:43 2019	1565793163	0	1390	1390	687
Wed Aug 14 16:31:51 2019	1565793111	0	1390	1390	735
Wed Aug 14 16:31:54 2019	1565793114	0	1390	1390	701
Wed Aug 14 16:32:34 2019	1565793154	0	1390	1390	673
Wed Aug 14 16:32:13 2019	1565793133	0	1391	1391	729
Wed Aug 14 16:33:07 2019	1565793187	0	1391	1391	715
Wed Aug 14 16:32:07 2019	1565793127	0	1391	1391	711
Wed Aug 14 16:33:10 2019	1565793190	0	1391	1391	694
Wed Aug 14 16:32:49 2019	1565793169	0	1391	1391	703
Wed Aug 14 16:32:42 2019	1565793162	0	1392	1392	692
Wed Aug 14 16:32:00 2019	1565793120	0	1392	1392	673
Wed Aug 14 16:32:40 2019	1565793160	0	1392	1392	705
Wed Aug 14 16:32:40 2019	1565793160	0	1393	1393	717
