starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 14 16:15:18 2019	1565792118	0	554	554	7
Wed Aug 14 16:15:18 2019	1565792118	0	558	558	8
Wed Aug 14 16:18:16 2019	1565792296	0	571	571	29
Wed Aug 14 16:18:16 2019	1565792296	0	583	583	24
Wed Aug 14 16:15:15 2019	1565792115	0	584	584	24
Wed Aug 14 16:15:35 2019	1565792135	0	600	600	19
Wed Aug 14 16:15:20 2019	1565792120	0	602	602	43
Wed Aug 14 16:15:32 2019	1565792132	0	602	602	23
Wed Aug 14 16:15:36 2019	1565792136	0	605	605	11
Wed Aug 14 16:15:34 2019	1565792134	0	608	608	30
Wed Aug 14 16:15:31 2019	1565792131	0	609	609	17
Wed Aug 14 16:15:30 2019	1565792130	0	609	609	30
Wed Aug 14 16:15:23 2019	1565792123	0	610	610	43
Wed Aug 14 16:15:27 2019	1565792127	0	611	611	31
Wed Aug 14 16:15:13 2019	1565792113	0	612	612	11
Wed Aug 14 16:15:28 2019	1565792128	0	612	612	41
Wed Aug 14 16:15:31 2019	1565792131	0	612	612	16
Wed Aug 14 16:15:40 2019	1565792140	0	612	612	13
Wed Aug 14 16:15:27 2019	1565792127	0	613	613	11
Wed Aug 14 16:15:28 2019	1565792128	0	614	614	12
Wed Aug 14 16:15:13 2019	1565792113	0	614	614	34
Wed Aug 14 16:15:45 2019	1565792145	0	615	615	26
Wed Aug 14 16:15:26 2019	1565792126	0	615	615	23
Wed Aug 14 16:15:32 2019	1565792132	0	615	615	47
Wed Aug 14 16:15:15 2019	1565792115	0	616	616	7
Wed Aug 14 16:15:39 2019	1565792139	0	617	617	17
Wed Aug 14 16:15:59 2019	1565792159	0	617	617	22
Wed Aug 14 16:15:36 2019	1565792136	0	618	618	29
Wed Aug 14 16:17:58 2019	1565792278	0	618	618	11
Wed Aug 14 16:15:37 2019	1565792137	0	619	619	34
Wed Aug 14 16:15:48 2019	1565792148	0	619	619	27
Wed Aug 14 16:15:28 2019	1565792128	0	619	619	44
Wed Aug 14 16:15:25 2019	1565792125	0	620	620	29
Wed Aug 14 16:15:48 2019	1565792148	0	621	621	23
Wed Aug 14 16:15:29 2019	1565792129	0	621	621	11
Wed Aug 14 16:15:52 2019	1565792152	0	621	621	17
Wed Aug 14 16:15:39 2019	1565792139	0	621	622	22
Wed Aug 14 16:15:18 2019	1565792118	0	622	622	41
Wed Aug 14 16:15:47 2019	1565792147	0	623	623	7
Wed Aug 14 16:15:17 2019	1565792117	0	623	623	33
Wed Aug 14 16:17:13 2019	1565792233	0	623	623	18
Wed Aug 14 16:15:48 2019	1565792148	0	623	623	38
Wed Aug 14 16:15:34 2019	1565792134	0	624	624	13
Wed Aug 14 16:15:56 2019	1565792156	0	625	625	14
Wed Aug 14 16:15:32 2019	1565792132	0	626	626	14
Wed Aug 14 16:16:01 2019	1565792161	0	626	626	35
Wed Aug 14 16:15:33 2019	1565792133	0	626	626	20
Wed Aug 14 16:15:49 2019	1565792149	0	626	626	47
Wed Aug 14 16:15:30 2019	1565792130	0	626	626	22
