starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 14 16:37:34 2019	1565793454	0	1516	1517	1333
Wed Aug 14 16:36:41 2019	1565793401	0	1517	1517	1328
Wed Aug 14 16:34:55 2019	1565793295	0	1517	1517	1330
Wed Aug 14 16:36:52 2019	1565793412	0	1517	1517	1331
Wed Aug 14 16:35:17 2019	1565793317	0	1517	1517	1327
Wed Aug 14 16:37:18 2019	1565793438	0	1517	1517	1331
Wed Aug 14 16:36:41 2019	1565793401	0	1517	1517	1329
Wed Aug 14 16:36:33 2019	1565793393	0	1517	1517	1333
Wed Aug 14 16:36:12 2019	1565793372	0	1517	1517	1333
Wed Aug 14 16:37:51 2019	1565793471	0	1517	1517	1330
Wed Aug 14 16:35:17 2019	1565793317	0	1517	1518	1332
Wed Aug 14 16:37:29 2019	1565793449	0	1518	1518	1309
Wed Aug 14 16:36:12 2019	1565793372	0	1518	1518	1330
Wed Aug 14 16:36:00 2019	1565793360	0	1518	1518	1318
Wed Aug 14 16:36:12 2019	1565793372	0	1518	1518	1333
Wed Aug 14 16:37:21 2019	1565793441	0	1518	1518	1328
Wed Aug 14 16:36:46 2019	1565793406	0	1518	1518	1332
Wed Aug 14 16:35:33 2019	1565793333	0	1518	1518	1334
Wed Aug 14 16:35:12 2019	1565793312	0	1519	1519	1332
Wed Aug 14 16:36:33 2019	1565793393	0	1519	1519	1326
Wed Aug 14 16:35:18 2019	1565793318	0	1519	1519	1326
Wed Aug 14 16:34:53 2019	1565793293	0	1519	1519	1332
Wed Aug 14 16:35:06 2019	1565793306	0	1519	1519	1309
Wed Aug 14 16:36:38 2019	1565793398	0	1519	1519	1322
Wed Aug 14 16:36:46 2019	1565793406	0	1520	1520	1335
Wed Aug 14 16:35:34 2019	1565793334	0	1520	1520	1334
Wed Aug 14 16:36:12 2019	1565793372	0	1520	1520	1334
Wed Aug 14 16:36:21 2019	1565793381	0	1521	1521	1312
Wed Aug 14 16:35:29 2019	1565793329	0	1521	1521	1340
Wed Aug 14 16:37:59 2019	1565793479	0	1521	1521	1342
Wed Aug 14 16:36:14 2019	1565793374	0	1521	1521	1340
Wed Aug 14 16:35:51 2019	1565793351	0	1521	1521	1331
Wed Aug 14 16:35:34 2019	1565793334	0	1521	1521	1323
Wed Aug 14 16:37:51 2019	1565793471	0	1522	1522	1332
Wed Aug 14 16:36:53 2019	1565793413	0	1522	1522	1327
Wed Aug 14 16:35:57 2019	1565793357	0	1522	1522	1333
Wed Aug 14 16:37:29 2019	1565793449	0	1522	1522	1336
Wed Aug 14 16:34:54 2019	1565793294	0	1522	1522	1333
Wed Aug 14 16:35:39 2019	1565793339	0	1522	1522	1331
Wed Aug 14 16:34:53 2019	1565793293	0	1522	1522	1331
Wed Aug 14 16:35:57 2019	1565793357	0	1522	1522	1330
Wed Aug 14 16:35:06 2019	1565793306	0	1522	1522	1336
Wed Aug 14 16:36:52 2019	1565793412	0	1523	1523	1340
Wed Aug 14 16:35:33 2019	1565793333	0	1523	1523	1337
Wed Aug 14 16:34:54 2019	1565793294	0	1523	1523	1337
Wed Aug 14 16:37:22 2019	1565793442	0	1523	1523	1327
Wed Aug 14 16:36:33 2019	1565793393	0	1523	1523	1330
Wed Aug 14 16:34:54 2019	1565793294	0	1523	1523	1339
Wed Aug 14 16:37:51 2019	1565793471	0	1524	1524	1340
Wed Aug 14 16:34:54 2019	1565793294	0	1525	1525	1328
Wed Aug 14 16:35:07 2019	1565793307	0	1525	1525	1340
Wed Aug 14 16:34:53 2019	1565793293	0	1525	1525	1338
Wed Aug 14 16:36:33 2019	1565793393	0	1525	1526	1341
Wed Aug 14 16:37:51 2019	1565793471	0	1526	1526	1323
Wed Aug 14 16:35:30 2019	1565793330	0	1526	1526	1340
Wed Aug 14 16:36:09 2019	1565793369	0	1526	1526	1342
Wed Aug 14 16:35:07 2019	1565793307	0	1526	1526	1345
Wed Aug 14 16:36:41 2019	1565793401	0	1526	1526	1329
Wed Aug 14 16:35:04 2019	1565793304	0	1527	1527	1342
Wed Aug 14 16:37:58 2019	1565793478	0	1527	1527	1342
Wed Aug 14 16:36:47 2019	1565793407	0	1527	1527	1340
Wed Aug 14 16:37:35 2019	1565793455	0	1527	1527	1340
Wed Aug 14 16:37:35 2019	1565793455	0	1527	1527	1312
Wed Aug 14 16:35:16 2019	1565793316	0	1528	1528	1338
Wed Aug 14 16:35:16 2019	1565793316	0	1528	1528	1340
Wed Aug 14 16:37:24 2019	1565793444	0	1528	1528	1339
Wed Aug 14 16:35:39 2019	1565793339	0	1528	1528	1339
Wed Aug 14 16:36:46 2019	1565793406	0	1528	1528	1329
Wed Aug 14 16:36:00 2019	1565793360	0	1528	1529	1336
Wed Aug 14 16:36:52 2019	1565793412	0	1529	1529	1339
Wed Aug 14 16:37:51 2019	1565793471	0	1529	1529	1338
Wed Aug 14 16:36:14 2019	1565793374	0	1529	1529	1351
Wed Aug 14 16:36:20 2019	1565793380	0	1529	1529	1342
Wed Aug 14 16:36:13 2019	1565793373	0	1529	1529	1318
Wed Aug 14 16:35:16 2019	1565793316	0	1529	1529	1341
Wed Aug 14 16:35:29 2019	1565793329	0	1530	1530	1320
Wed Aug 14 16:35:04 2019	1565793304	0	1530	1530	1342
Wed Aug 14 16:35:16 2019	1565793316	0	1531	1531	1342
Wed Aug 14 16:35:33 2019	1565793333	0	1531	1531	1327
Wed Aug 14 16:36:20 2019	1565793380	0	1531	1531	1351
Wed Aug 14 16:36:46 2019	1565793406	0	1531	1531	1334
Wed Aug 14 16:35:10 2019	1565793310	0	1531	1531	1337
