starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 14 16:09:52 2019	1565791792	0	277	277	49
Wed Aug 14 16:09:52 2019	1565791792	0	420	420	230
Wed Aug 14 16:09:52 2019	1565791792	0	602	602	421
Wed Aug 14 16:13:10 2019	1565791990	0	725	725	550
Wed Aug 14 16:13:02 2019	1565791982	0	728	728	546
Wed Aug 14 16:09:57 2019	1565791797	0	729	729	550
Wed Aug 14 16:10:14 2019	1565791814	0	729	729	550
Wed Aug 14 16:13:02 2019	1565791982	0	730	730	547
Wed Aug 14 16:09:57 2019	1565791797	0	730	730	554
Wed Aug 14 16:13:06 2019	1565791986	0	731	731	548
Wed Aug 14 16:13:02 2019	1565791982	0	731	731	553
Wed Aug 14 16:12:31 2019	1565791951	0	731	731	550
Wed Aug 14 16:13:06 2019	1565791986	0	731	731	549
Wed Aug 14 16:10:20 2019	1565791820	0	731	731	549
Wed Aug 14 16:13:02 2019	1565791982	0	732	732	551
Wed Aug 14 16:10:20 2019	1565791820	0	732	732	552
Wed Aug 14 16:10:20 2019	1565791820	0	732	732	550
Wed Aug 14 16:10:20 2019	1565791820	0	733	733	549
Wed Aug 14 16:10:14 2019	1565791814	0	733	733	548
Wed Aug 14 16:10:14 2019	1565791814	0	734	734	551
Wed Aug 14 16:12:01 2019	1565791921	0	734	734	553
Wed Aug 14 16:13:01 2019	1565791981	0	734	734	553
Wed Aug 14 16:13:03 2019	1565791983	0	734	734	554
Wed Aug 14 16:11:59 2019	1565791919	0	735	735	553
Wed Aug 14 16:12:46 2019	1565791966	0	735	735	555
Wed Aug 14 16:09:57 2019	1565791797	0	735	735	550
Wed Aug 14 16:12:22 2019	1565791942	0	735	735	554
Wed Aug 14 16:10:14 2019	1565791814	0	736	736	556
Wed Aug 14 16:12:36 2019	1565791956	0	736	736	554
Wed Aug 14 16:13:03 2019	1565791983	0	736	736	556
Wed Aug 14 16:12:00 2019	1565791920	0	736	737	553
Wed Aug 14 16:13:01 2019	1565791981	0	737	737	553
Wed Aug 14 16:11:58 2019	1565791918	0	737	737	554
Wed Aug 14 16:13:06 2019	1565791986	0	737	737	557
Wed Aug 14 16:11:58 2019	1565791918	0	737	737	556
Wed Aug 14 16:11:58 2019	1565791918	0	738	738	553
Wed Aug 14 16:12:36 2019	1565791956	0	738	738	553
Wed Aug 14 16:13:03 2019	1565791983	0	738	738	555
Wed Aug 14 16:12:01 2019	1565791921	0	738	739	556
Wed Aug 14 16:13:08 2019	1565791988	0	739	739	553
Wed Aug 14 16:12:22 2019	1565791942	0	739	739	555
Wed Aug 14 16:12:01 2019	1565791921	0	739	739	551
Wed Aug 14 16:12:06 2019	1565791926	0	739	739	550
Wed Aug 14 16:11:59 2019	1565791919	0	739	739	554
Wed Aug 14 16:10:22 2019	1565791822	0	739	739	555
Wed Aug 14 16:10:23 2019	1565791823	0	739	739	558
Wed Aug 14 16:10:04 2019	1565791804	0	740	740	558
Wed Aug 14 16:10:13 2019	1565791813	0	740	740	559
Wed Aug 14 16:10:13 2019	1565791813	0	740	740	559
Wed Aug 14 16:10:15 2019	1565791815	0	740	740	557
Wed Aug 14 16:12:00 2019	1565791920	0	740	740	557
Wed Aug 14 16:13:02 2019	1565791982	0	740	740	555
Wed Aug 14 16:10:15 2019	1565791815	0	740	740	556
Wed Aug 14 16:13:03 2019	1565791983	0	740	740	559
Wed Aug 14 16:12:21 2019	1565791941	0	740	740	556
Wed Aug 14 16:09:57 2019	1565791797	0	741	741	555
Wed Aug 14 16:10:13 2019	1565791813	0	741	741	556
Wed Aug 14 16:13:02 2019	1565791982	0	741	741	556
Wed Aug 14 16:10:13 2019	1565791813	0	741	741	555
Wed Aug 14 16:10:14 2019	1565791814	0	741	741	557
Wed Aug 14 16:10:12 2019	1565791812	0	742	742	559
Wed Aug 14 16:11:33 2019	1565791893	0	742	742	559
Wed Aug 14 16:13:03 2019	1565791983	0	743	743	559
Wed Aug 14 16:12:36 2019	1565791956	0	743	743	560
Wed Aug 14 16:12:01 2019	1565791921	0	743	743	558
Wed Aug 14 16:12:51 2019	1565791971	0	743	743	560
Wed Aug 14 16:12:06 2019	1565791926	0	743	743	555
Wed Aug 14 16:10:22 2019	1565791822	0	743	743	558
Wed Aug 14 16:12:51 2019	1565791971	0	743	743	552
Wed Aug 14 16:10:22 2019	1565791822	0	743	743	558
Wed Aug 14 16:10:14 2019	1565791814	0	743	743	560
Wed Aug 14 16:10:11 2019	1565791811	0	743	743	559
Wed Aug 14 16:11:18 2019	1565791878	0	744	744	564
Wed Aug 14 16:11:19 2019	1565791879	0	744	744	553
Wed Aug 14 16:12:21 2019	1565791941	0	744	744	553
Wed Aug 14 16:10:12 2019	1565791812	0	744	744	561
Wed Aug 14 16:10:13 2019	1565791813	0	745	745	560
Wed Aug 14 16:10:23 2019	1565791823	0	745	745	558
Wed Aug 14 16:10:11 2019	1565791811	0	745	745	559
Wed Aug 14 16:12:01 2019	1565791921	0	746	746	561
Wed Aug 14 16:10:18 2019	1565791818	0	746	746	567
Wed Aug 14 16:12:25 2019	1565791945	0	746	746	561
Wed Aug 14 16:11:58 2019	1565791918	0	746	746	563
Wed Aug 14 16:11:32 2019	1565791892	0	746	746	560
Wed Aug 14 16:10:23 2019	1565791823	0	746	746	562
Wed Aug 14 16:11:03 2019	1565791863	0	746	746	564
Wed Aug 14 16:10:24 2019	1565791824	0	746	746	561
Wed Aug 14 16:10:11 2019	1565791811	0	746	746	561
Wed Aug 14 16:12:22 2019	1565791942	0	747	747	565
Wed Aug 14 16:12:22 2019	1565791942	0	747	747	564
Wed Aug 14 16:10:11 2019	1565791811	0	747	747	562
Wed Aug 14 16:10:23 2019	1565791823	0	747	747	560
Wed Aug 14 16:10:24 2019	1565791824	0	747	747	561
Wed Aug 14 16:10:24 2019	1565791824	0	748	748	562
Wed Aug 14 16:12:06 2019	1565791926	0	748	748	566
Wed Aug 14 16:11:32 2019	1565791892	0	748	748	565
Wed Aug 14 16:10:23 2019	1565791823	0	748	748	562
Wed Aug 14 16:10:04 2019	1565791804	0	748	748	564
Wed Aug 14 16:10:18 2019	1565791818	0	749	749	565
Wed Aug 14 16:11:34 2019	1565791894	0	749	749	550
Wed Aug 14 16:10:18 2019	1565791818	0	749	749	563
Wed Aug 14 16:11:33 2019	1565791893	0	749	749	569
Wed Aug 14 16:12:00 2019	1565791920	0	749	749	553
Wed Aug 14 16:10:11 2019	1565791811	0	749	749	565
Wed Aug 14 16:11:13 2019	1565791873	0	749	749	560
Wed Aug 14 16:13:08 2019	1565791988	0	750	750	567
Wed Aug 14 16:12:56 2019	1565791976	0	750	750	566
Wed Aug 14 16:10:04 2019	1565791804	0	750	750	559
Wed Aug 14 16:11:59 2019	1565791919	0	750	750	567
Wed Aug 14 16:10:04 2019	1565791804	0	750	750	564
Wed Aug 14 16:12:22 2019	1565791942	0	750	750	568
Wed Aug 14 16:10:18 2019	1565791818	0	750	750	568
Wed Aug 14 16:09:57 2019	1565791797	0	750	750	568
Wed Aug 14 16:10:09 2019	1565791809	0	750	750	565
Wed Aug 14 16:11:58 2019	1565791918	0	750	750	555
Wed Aug 14 16:10:15 2019	1565791815	0	750	750	563
Wed Aug 14 16:11:13 2019	1565791873	0	751	751	558
Wed Aug 14 16:11:59 2019	1565791919	0	751	751	569
Wed Aug 14 16:12:02 2019	1565791922	0	751	751	558
Wed Aug 14 16:10:34 2019	1565791834	0	752	752	565
Wed Aug 14 16:12:38 2019	1565791958	0	752	752	567
Wed Aug 14 16:12:17 2019	1565791937	0	752	752	566
Wed Aug 14 16:12:00 2019	1565791920	0	752	752	568
Wed Aug 14 16:10:23 2019	1565791823	0	752	752	567
Wed Aug 14 16:11:08 2019	1565791868	0	753	753	571
Wed Aug 14 16:12:00 2019	1565791920	0	753	753	569
Wed Aug 14 16:10:15 2019	1565791815	0	753	753	563
Wed Aug 14 16:12:00 2019	1565791920	0	753	753	570
Wed Aug 14 16:12:31 2019	1565791951	0	754	754	569
Wed Aug 14 16:11:22 2019	1565791882	0	754	754	568
Wed Aug 14 16:10:17 2019	1565791817	0	754	754	569
Wed Aug 14 16:12:36 2019	1565791956	0	754	754	554
Wed Aug 14 16:12:51 2019	1565791971	0	755	755	562
Wed Aug 14 16:11:59 2019	1565791919	0	755	755	569
Wed Aug 14 16:11:33 2019	1565791893	0	755	755	574
Wed Aug 14 16:10:58 2019	1565791858	0	755	755	566
Wed Aug 14 16:10:18 2019	1565791818	0	755	755	566
Wed Aug 14 16:12:35 2019	1565791955	0	756	756	572
Wed Aug 14 16:12:02 2019	1565791922	0	756	756	569
Wed Aug 14 16:13:01 2019	1565791981	0	757	757	577
Wed Aug 14 16:10:20 2019	1565791820	0	757	757	576
Wed Aug 14 16:12:46 2019	1565791966	0	757	757	552
Wed Aug 14 16:12:16 2019	1565791936	0	757	757	569
Wed Aug 14 16:10:52 2019	1565791852	0	757	757	571
Wed Aug 14 16:10:02 2019	1565791802	0	757	757	572
Wed Aug 14 16:12:17 2019	1565791937	0	757	757	572
Wed Aug 14 16:13:00 2019	1565791980	0	757	757	569
Wed Aug 14 16:12:17 2019	1565791937	0	757	757	570
Wed Aug 14 16:12:17 2019	1565791937	0	757	757	570
Wed Aug 14 16:12:46 2019	1565791966	0	757	757	574
Wed Aug 14 16:13:06 2019	1565791986	0	757	757	550
Wed Aug 14 16:11:38 2019	1565791898	0	757	757	569
Wed Aug 14 16:10:28 2019	1565791828	0	758	758	568
Wed Aug 14 16:12:51 2019	1565791971	0	758	758	575
